,ds,yhat,yhat_lower,yhat_upper
2720,2003-04-01,708.9245569555994,633.2676090794965,795.6284815893376
2721,2003-04-02,710.3853030459732,629.8426168943544,785.3293036166808
2722,2003-04-03,710.8632608661779,633.2099835519109,793.6191372060414
2723,2003-04-04,717.0425199292599,635.4455861968391,794.8705160636189
2724,2003-04-05,694.986328936284,611.2060366230764,771.5979183360863
2725,2003-04-06,655.5572912818393,577.3832894300523,734.5220215422678
2726,2003-04-07,725.0849957001217,640.9505594590734,809.191224051229
2727,2003-04-08,738.7284516932152,660.0289056390462,818.2704131339556
2728,2003-04-09,742.9815944091173,658.6389542786344,820.9543894964942
2729,2003-04-10,746.0047172966231,665.6557436957324,827.9588875954656
2730,2003-04-11,754.4259786494996,676.4177938537621,835.20737526523
2731,2003-04-12,734.2623647723558,660.8914754506299,817.4210621943034
2732,2003-04-13,696.3409353307434,616.8433341381515,777.3296678332001
2733,2003-04-14,766.9671737757818,696.6337561620367,851.5511418078453
2734,2003-04-15,781.2877973092618,702.893336152366,860.6445205880148
2735,2003-04-16,785.796286315963,702.2510957884934,864.9219417906653
2736,2003-04-17,788.6639973015509,711.1414282749421,865.7985692663839
2737,2003-04-18,796.5410213184832,710.3006978738265,874.0150293966195
2738,2003-04-19,775.4761960321636,694.4602439541331,853.5655715143831
2739,2003-04-20,736.3371310898084,657.7681964182108,812.6680710604572
2740,2003-04-21,805.477111319721,728.742586753996,887.8607546045013
2741,2003-04-22,818.096280059329,738.618428197039,904.0886719765388
2742,2003-04-23,820.7454150360447,743.7703329607789,908.7789554159364
2743,2003-04-24,821.6552163599689,742.4701857639095,901.910233219288
2744,2003-04-25,827.5353254191548,744.4473206251944,905.6324970164337
2745,2003-04-26,804.492539191257,723.5968600942348,886.2782082749038
2746,2003-04-27,763.4491338188476,691.8074545036329,846.9422951636735
2747,2003-04-28,830.8082123657126,747.3663695397614,905.6103802401824
2748,2003-04-29,841.8135241300829,762.2907916494368,929.3880513680767
2749,2003-04-30,843.0521063965355,764.3435466670605,922.8432903720015
2750,2003-05-01,805.0576658909429,725.5765152871747,885.7041728881063
2751,2003-05-02,847.7341719303255,764.9263920269733,925.7959213382927
2752,2003-05-03,824.0234455007453,748.3152171810825,906.4721321192542
2753,2003-05-04,782.5738169501279,701.3090148019335,863.589526923945
2754,2003-05-05,849.7806058298919,768.0073531724977,928.1486041162525
2755,2003-05-06,860.8715482912515,776.3512640558827,942.5948045459307
2756,2003-05-07,862.4102680408562,778.8218539598306,942.9274005326831
2757,2003-05-08,862.6257425730593,784.1712846823292,938.253411475318
2758,2003-05-09,868.2119673396138,786.9016407674369,951.2132023620846
2759,2003-05-10,845.2472516392303,766.2494878738295,929.0549694562521
2760,2003-05-11,804.6140158991988,712.5898877592115,882.2063737818213
2761,2003-05-12,872.6659491814107,790.5496233845888,952.7736070063844
2762,2003-05-13,884.5899082224314,800.4519899004641,960.8379414666153
2763,2003-05-14,886.910835034872,804.9018361808253,963.329233843319
2764,2003-05-15,887.8225641531019,801.4298247667957,965.1372479913746
2765,2003-05-16,893.9886784860987,811.8337002678454,975.6068623084557
2766,2003-05-17,871.4628091791999,790.8846666116374,953.7736788493582
2767,2003-05-18,831.1092172798415,749.2071855665519,913.7405839810771
2768,2003-05-19,899.2704916705572,819.724280054662,978.3705413198915
2769,2003-05-20,911.1297284505873,830.8413295062434,991.7509937345641
2770,2003-05-21,875.4904283847263,794.3431612630044,956.7314006914827
2771,2003-05-22,913.732216108126,837.2828025430399,991.8592098972987
2772,2003-05-23,919.3608572007251,845.6678803261489,1002.4637911350114
2773,2003-05-24,896.1781427538785,811.7610406088181,985.5029744763825
2774,2003-05-25,855.0763505484997,777.4117730628432,934.7872772809745
2775,2003-05-26,922.429844172095,840.9358851580871,1001.2287041065256
2776,2003-05-27,933.4559836778978,855.3761936761247,1017.7731005352933
2777,2003-05-28,934.7186944681063,848.9131179623677,1025.0876754117132
2778,2003-05-29,934.4576141757693,855.8369906147392,1018.9368811560635
2779,2003-05-30,939.3870356132934,858.6044128729105,1020.4429601774159
2780,2003-05-31,915.614108761705,828.7438710457782,997.6889989520897
2781,2003-06-01,874.0572134029665,797.8454547353415,959.5446520393135
2782,2003-06-02,941.1114144705107,863.737448830126,1024.070541493512
2783,2003-06-03,952.0084441772186,865.4012998345784,1030.0477053052177
2784,2003-06-04,953.3195580849242,876.3725644573558,1037.1738556973733
2785,2003-06-05,953.2842113860954,868.1779169521423,1026.5517569395242
2786,2003-06-06,958.6087920676227,881.6579716659768,1038.9030689606707
2787,2003-06-07,935.3848839943646,854.3413137371995,1019.5149190669124
2788,2003-06-08,894.507972678618,814.9266614859556,977.3660190670553
2789,2003-06-09,962.3434979679819,885.7836448628519,1038.0080424291216
2790,2003-06-10,974.0876810775499,890.210418576878,1057.6285851387743
2791,2003-06-11,976.2714481743499,890.6754688618919,1053.3313710885575
2792,2003-06-12,977.0903642569085,892.1800029715141,1057.8367774139897
2793,2003-06-13,983.2047748945387,899.5534758209127,1063.6645654587458
2794,2003-06-14,960.659584389007,879.4543633361404,1040.8585846351493
2795,2003-06-15,920.3045346616417,837.6737613774857,1000.7375234386342
2796,2003-06-16,988.4618381791078,908.4589613832907,1068.2645104229196
2797,2003-06-17,1000.2885405647523,922.3242297039058,1078.113014055148
2798,2003-06-18,1002.2818841305229,923.6227864818395,1081.6924267893557
2799,2003-06-19,1002.6105375240643,924.3191537471108,1088.943818847536
2800,2003-06-20,1007.9158445167468,932.2561782567755,1095.1394876160225
2801,2003-06-21,984.2324814174946,904.978969570667,1065.6126153302366
2802,2003-06-22,942.4093550955863,862.4980699330829,1023.185707751753
2803,2003-06-23,1008.7775704612251,929.8221945963352,1085.2432292381886
2804,2003-06-24,1018.5128273012706,943.9888888057053,1102.3195787455472
2805,2003-06-25,1018.1405112568964,939.2647902513876,1098.6238432950827
2806,2003-06-26,1015.8663473022948,935.5206205838089,1092.4967479749553
2807,2003-06-27,1018.3767815357621,935.1329518183227,1101.7341916962077
2808,2003-06-28,991.758502877253,912.117218563847,1068.9913274456512
2809,2003-06-29,946.9179675066854,870.7919123607041,1023.0358413818727
2810,2003-06-30,972.5227606118708,891.3418521537849,1056.5437252402633
2811,2003-07-01,1016.9874319054185,939.3906104673042,1092.4219043804937
2812,2003-07-02,1013.7264273890739,932.2113531326228,1091.084468865988
2813,2003-07-03,1008.7331959098653,930.1826246316451,1088.5566488712318
2814,2003-07-04,1008.7535380153747,933.382328642854,1089.8369431013425
2815,2003-07-05,979.9283594986148,904.2079587666838,1059.0283200816402
2816,2003-07-06,933.2115176980922,853.6476927556057,1010.1662435362643
2817,2003-07-07,995.0347144354213,909.8018457142026,1075.3597500263643
2818,2003-07-08,1000.6668895631205,925.3110370664467,1082.4138816606746
2819,2003-07-09,996.7164731684732,912.8317464477204,1076.8075297718428
2820,2003-07-10,991.4594543279527,905.6917046881998,1071.0268138879462
2821,2003-07-11,991.637515230663,912.7440602104369,1069.86253285427
2822,2003-07-12,963.3757161005349,887.0508092034534,1043.0960152194534
2823,2003-07-13,917.6006560369422,833.8025530370868,994.8569139777005
2824,2003-07-14,980.7060260194801,901.1970609440735,1062.338716291449
2825,2003-07-15,987.912992856237,903.3960655826891,1062.095617156559
2826,2003-07-16,948.0487136722195,871.9495999482031,1026.8733431603791
2827,2003-07-17,982.5011348812999,901.6341414246003,1068.6561553713589
2828,2003-07-18,984.7685875823345,902.05235351009,1066.6714921887183
2829,2003-07-19,958.6297691068063,885.6306286614898,1037.0467677542167
2830,2003-07-20,914.9388234514188,835.7874849784075,992.9673996254854
2831,2003-07-21,980.0180687528978,897.9873278431661,1057.5706961036062
2832,2003-07-22,989.0205157139465,909.2741137803492,1078.3396690246716
2833,2003-07-23,988.4354782117836,904.8809621298258,1066.419360184967
2834,2003-07-24,986.4201359277924,904.8310579458663,1060.7040888282595
2835,2003-07-25,989.6011943860824,907.6452963706365,1072.0426549738927
2836,2003-07-26,963.996022102784,885.8112930769731,1045.3297391300298
2837,2003-07-27,920.4340850889655,845.1683510650757,1001.5553154673878
2838,2003-07-28,985.2254941250528,903.6379445482156,1068.4263765295836
2839,2003-07-29,993.524009872982,909.129427014653,1073.065896751115
2840,2003-07-30,991.8327547634512,911.4430269543094,1069.3065125641463
2841,2003-07-31,988.33548352901,908.8562724039421,1069.3003582188871
2842,2003-08-01,989.6975615066688,905.5036878670983,1068.7749452875053
2843,2003-08-02,961.9860458607686,883.5234135770042,1038.2436460360764
2844,2003-08-03,916.0897168176135,835.7580806940573,993.4949321994354
2845,2003-08-04,978.3859119021555,900.389228378946,1060.8021570942358
2846,2003-08-05,984.1015555469544,910.4856101114812,1066.7935000446735
2847,2003-08-06,979.8166887488139,905.5162160833436,1068.935746224668
2848,2003-08-07,973.7934132549866,890.3195315855673,1053.4918519509515
2849,2003-08-08,972.7744671072403,884.5821152965402,1052.0616373508576
2850,2003-08-09,942.9008975377186,866.6773481056094,1020.4929067225904
2851,2003-08-10,895.1297502265074,815.5275764053503,974.9962199618167
2852,2003-08-11,955.8986987843608,881.4485636037473,1033.6451777762563
2853,2003-08-12,960.485074548068,879.4412448159921,1040.2300146208809
2854,2003-08-13,955.5076638847879,873.336873418836,1029.452303881665
2855,2003-08-14,949.254242903604,867.7678027528831,1035.247917051228
2856,2003-08-15,910.7540799861965,828.3577655713261,988.512231052639
2857,2003-08-16,919.3201394960805,841.7681682208008,998.6067609821642
2858,2003-08-17,872.716237263797,796.1887785587041,959.1286619254558
2859,2003-08-18,935.07223952311,852.585852240942,1014.372686330455
2860,2003-08-19,941.6186096131382,861.2763703367945,1021.1533179330254
2861,2003-08-20,938.9143494416439,855.0064358419105,1015.950285622127
2862,2003-08-21,935.1760483641588,860.434998256279,1023.3942701375023
2863,2003-08-22,937.0772975880741,853.6689064003416,1013.2480670049275
2864,2003-08-23,910.6679229073027,832.120422727789,992.5790619174442
2865,2003-08-24,866.7939202457651,790.573716644463,951.0166426601309
2866,2003-08-25,931.7649627500349,854.6858573904635,1009.0416912890643
2867,2003-08-26,940.716865173431,860.6193440179429,1023.4301832502834
2868,2003-08-27,940.1172811019087,859.6299494524486,1013.4750862056877
2869,2003-08-28,938.0974964558094,860.0980778845651,1024.941036484589
2870,2003-08-29,941.2544643014251,864.3467040183457,1023.2076709009099
2871,2003-08-30,915.5724562710358,835.0710191863438,998.2642269625842
2872,2003-08-31,871.8451423768847,785.4585463872423,945.8551993010743
2873,2003-09-01,936.3449022391768,854.5359506484041,1011.6074330607962
2874,2003-09-02,944.1866966862998,867.8155183441163,1026.4941399222562
2875,2003-09-03,941.8347291637899,858.018103962235,1024.0777743589847
2876,2003-09-04,937.4347263755458,855.7282380035974,1014.8971847271329
2877,2003-09-05,937.615962399611,860.5266249519015,1022.568859853228
2878,2003-09-06,908.4123947197015,827.5818978765788,983.4428685751716
2879,2003-09-07,860.6837313980377,776.2022319690944,940.6928349987184
2880,2003-09-08,920.7832540604845,843.8280970628135,1006.5788961069998
2881,2003-09-09,923.9197610545838,844.4642743529694,1008.0768348911379
2882,2003-09-10,916.661908489354,842.7511919170908,995.7282653630311
2883,2003-09-11,907.2678384861808,825.1213161643615,988.602759884863
2884,2003-09-12,902.4842888203394,813.4378337046088,975.9043289816194
2885,2003-09-13,868.4646304887951,790.9909538316303,950.9247394920226
2886,2003-09-14,816.1867365317954,731.2341898964888,898.1684260044883
2887,2003-09-15,872.1175945779245,790.9931725231918,956.4945668210709
2888,2003-09-16,871.5721165063258,796.6246491971372,952.3696705734536
2889,2003-09-17,861.2145107188219,787.3504561184051,942.8875408899253
2890,2003-09-18,811.6601573742524,732.8729260884677,890.9937843902978
2891,2003-09-19,805.1724567262828,723.4173966198914,880.9607072639076
2892,2003-09-20,770.2286714622669,688.6814735004831,853.5526834445061
2893,2003-09-21,755.5614187143068,668.7695940835044,835.6311381188328
2894,2003-09-22,812.1970779754255,731.988826148056,888.0511000905735
